product_id,product_name,product_category,product_price,product_season
1,Gluehbirne,Elektronik,3.99,
2,Lampenfassung,Elektronik,3.19,
3,Batterie,Elektronik,4.79,
4,Mehrfachsteckdose,Elektronik,3.29,
5,Kabel,Elektronik,6.99,
6,Polystyrolkugel,Basteln,1.49,
7,Cutter,Basteln,3.99,
8,Brett,Basteln,3.99,
9,Nagel,Basteln,2.99,
10,Schraube,Basteln,4.89,
11,Pinsel,Farben,1.89,
12,Klebeband,Farben,3.99,
13,Spachtel,Farben,4.89,
14,Farbe,Farben,14.99,
15,Lack,Farben,6.49,
16,Farbwalze,Farben,5.79,
17,Hammer,Werkzeug,6.99,
18,Akkuschrauber,Werkzeug,24.99,
19,Schraubenzieher,Werkzeug,5.99,
20,Zange,Werkzeug,3.99,
21,Zollstock,Werkzeug,2.99,
22,Topf,Garten,0.79,
23,Handschaufel,Garten,2.29,
24,Einweggrill,Garten,4.79,S         
25,Handschuhe,Garten,5.99,
26,Heckenschere,Garten,9.99,
27,Muellsack,Sonstiges,1.99,
28,Feuerzeug,Sonstiges,2.59,
29,Grillanzuender,Sonstiges,2.99,S         
30,Teelicht,Sonstiges,1.49,
31,Kleber,Sonstiges,4.99,
32,Bremsenmittel,Auto,3.99,
33,Scheibenklar,Auto,2.99,
34,Destilliertes Wasser,Auto,0.99,
35,Autopolitur,Auto,11.99,
36,Frostschutz,Auto,2.99,W         
