0,1,2,3,4,5,6,7,8,9
27,28,8,14,29,24,22,3,28,21
3,4,,,,,,,,
17,,,,,,,,,
33,24,29,24,28,21,34,24,17,
32,33,36,3,18,19,5,18,17,19
26,5,4,5,23,19,,,,
20,27,2,30,12,9,21,22,20,18
31,30,21,7,,,,,,
23,26,22,23,13,3,6,8,,
14,11,18,6,15,,,,,
33,13,33,35,2,32,36,,,
9,8,31,13,22,32,9,,,
19,33,36,,,,,,,
9,31,28,,,,,,,
7,6,11,13,22,26,23,22,15,13
17,27,6,7,21,18,2,1,28,12
35,4,24,36,32,15,,,,
10,,,,,,,,,
20,36,20,18,29,,,,,
7,6,26,25,,,,,,
5,6,13,33,16,3,15,4,28,2
22,26,33,22,24,28,27,24,27,
31,36,8,7,9,6,12,11,,
36,19,,,,,,,,
7,12,,,,,,,,
23,31,,,,,,,,
28,30,17,11,,,,,,
21,8,,,,,,,,
14,15,12,7,,,,,,
36,16,27,8,,,,,,
31,33,35,17,,,,,,
29,12,16,6,8,32,34,21,28,
34,7,4,30,36,,,,,
17,20,18,,,,,,,
4,32,33,,,,,,,
36,35,34,25,,,,,,
1,35,1,16,21,1,23,27,,
6,30,12,6,,,,,,
26,25,8,,,,,,,
1,32,23,4,21,13,26,12,,
32,15,12,16,11,10,8,13,31,26
22,,,,,,,,,
16,11,,,,,,,,
21,27,29,2,18,8,33,32,8,17
5,28,24,34,32,14,27,29,28,
13,28,30,1,3,12,36,,,
15,28,6,23,,,,,,
16,,,,,,,,,
10,21,30,28,12,16,27,28,17,18
35,22,16,35,18,24,2,1,3,
29,2,5,28,14,16,14,,,
6,19,17,9,7,,,,,
6,13,28,15,36,35,,,,
21,8,20,35,,,,,,
33,18,30,25,9,16,12,9,,
32,30,,,,,,,,
7,13,7,,,,,,,
20,9,31,6,11,23,15,16,,
36,27,36,15,13,16,15,,,
19,29,34,32,2,4,2,3,12,
8,11,12,,,,,,,
36,,,,,,,,,
22,13,1,,,,,,,
35,36,25,14,28,,,,,
14,15,12,,,,,,,
36,1,11,13,2,22,18,32,9,
19,32,12,11,20,21,15,3,,
29,28,21,17,30,32,11,14,22,
6,16,12,15,11,2,9,8,,
25,27,26,24,25,,,,,
21,7,31,26,25,26,2,,,
16,19,28,29,26,17,10,,,
19,20,33,25,30,31,7,,,
12,30,12,29,7,19,17,13,15,2
13,11,23,21,9,12,,,,
12,,,,,,,,,
3,21,19,17,22,,,,,
