0,1,2,3,4,5,6,7,8,9,10
Scheibenklar,Farbe,Farbwalze,Kabel,Brett,,,,,,
Kabel,Nagel,Einweggrill,Scheibenklar,Lack,Bremsenmittel,Grillanzuender,Destilliertes Wasser,Feuerzeug,,
Lampenfassung,Polystyrolkugel,Kabel,Schraubenzieher,Feuerzeug,Gluehbirne,Heckenschere,,,,
Topf,Spachtel,Lampenfassung,Polystyrolkugel,Zange,,,,,,
Frostschutz,Akkuschrauber,Spachtel,Brett,Cutter,Feuerzeug,,,,,
Lampenfassung,Gluehbirne,Lack,Mehrfachsteckdose,Farbe,,,,,,
Klebeband,Nagel,Autopolitur,Handschuhe,,,,,,,
Gluehbirne,Batterie,Destilliertes Wasser,Kleber,Handschaufel,Zollstock,,,,,
Schraubenzieher,Kleber,Bremsenmittel,Akkuschrauber,Lack,Teelicht,Autopolitur,,,,
Lampenfassung,Farbe,Mehrfachsteckdose,Mehrfachsteckdose,Zange,Lack,Gluehbirne,,,,
Kabel,Heckenschere,Spachtel,Kleber,Feuerzeug,Topf,,,,,
Handschaufel,Handschuhe,Pinsel,Polystyrolkugel,Cutter,Topf,Schraubenzieher,Lack,Feuerzeug,Gluehbirne,
Gluehbirne,Lampenfassung,Cutter,Farbwalze,Schraube,Bremsenmittel,Polystyrolkugel,Heckenschere,,,
Gluehbirne,Handschuhe,Frostschutz,Farbwalze,Grillanzuender,Hammer,,,,,
Einweggrill,Scheibenklar,Grillanzuender,Gluehbirne,Batterie,Akkuschrauber,,,,,
Pinsel,Spachtel,Nagel,Destilliertes Wasser,Kleber,,,,,,
Feuerzeug,Handschaufel,Zollstock,Destilliertes Wasser,,,,,,,
Akkuschrauber,Mehrfachsteckdose,Autopolitur,Spachtel,Gluehbirne,Pinsel,,,,,
Polystyrolkugel,Grillanzuender,Teelicht,Topf,,,,,,,
Heckenschere,Gluehbirne,Bremsenmittel,Schraube,Klebeband,Feuerzeug,,,,,
Gluehbirne,Autopolitur,Kleber,Grillanzuender,,,,,,,
Zollstock,Kleber,Mehrfachsteckdose,Autopolitur,Klebeband,,,,,,
Farbe,Lack,Kabel,Lampenfassung,Brett,,,,,,
Heckenschere,Mehrfachsteckdose,Kleber,Polystyrolkugel,Akkuschrauber,Gluehbirne,Grillanzuender,Brett,,,
Polystyrolkugel,Hammer,Lack,Autopolitur,Bremsenmittel,Einweggrill,Scheibenklar,Gluehbirne,,,
Lampenfassung,Batterie,Schraube,Farbe,,,,,,,
Polystyrolkugel,Topf,Batterie,Klebeband,Feuerzeug,Pinsel,Schraube,,,,
Cutter,Gluehbirne,Akkuschrauber,Spachtel,Einweggrill,,,,,,
Muellsack,Schraube,Kabel,Polystyrolkugel,Pinsel,Zollstock,Cutter,,,,
Brett,Zollstock,Autopolitur,Handschaufel,Grillanzuender,Pinsel,,,,,
